2018-11-30 22:07:21,b'#sunrise at #johnwayneairport \xf0\x9f\x9b\xab\xf0\x9f\x8c\x9e #orangecounty #socal #friday #friyay #fridayfunday #specialdelivery\xe2\x80\xa6 https://t.co/HnAmRK7rRq'
2018-11-30 21:28:38,"b'Best leg room ever - NOT!  Stewardess requested I move bag out of overhead, not big enough. #unitedAIRLINES https://t.co/fsz4EUApqA'"
2018-11-30 21:20:50,"b'Flight in SLC delayed 5 hours for maintenance, bathrooms in the terminal closed.... thanks #UnitedAirlines'"
2018-11-30 20:56:11,b'#Education can be difficult. My daughter asked me: Daddy why have we checked our luggage in @UnitedAirlines\xe2\x80\xa6 https://t.co/0KgWo6GgBn'
2018-11-30 20:28:00,b'Most beautiful airport to fly into from the west side! #NYC #EWR #UAIFSBaseEWR #United2winNYC #unitedairlines https://t.co/GbfMjHrrrM'
2018-11-30 20:21:44,b'Southern California is so beautiful! Grateful to get a little break from the cold but excited to get back to the ea\xe2\x80\xa6 https://t.co/fCyVpFDJWM'
2018-11-30 20:09:31,"b""Find me an airlines that doesn't frustrates the F out of u with hidden upsell gimmicks when booking. Show me one wh\xe2\x80\xa6 https://t.co/3OrqL3n2Ar"""
2018-11-30 20:00:53,b'$594* &amp; up -- United Airlines Flights to Sydney (Roundtrip) https://t.co/TvBZaAxMNl #syd #sfo #unitedairlines https://t.co/Ecwoh5UFFD'
2018-11-30 19:18:38,b'Hello World! RUAEA is now on Twitter! #RUAEA #UnitedAirlines'
2018-11-30 19:15:59,b'RT @FlyingPhotog: #UnitedAirlines CEO Oscar Munoz gave up his first class seat for a frail-looking elderly woman. #travel #PaxEx https://t.\xe2\x80\xa6'
2018-11-30 18:49:58,b'Warm Sun \xe2\x98\x80\xef\xb8\x8f Clear Caribbean Sea \xf0\x9f\x8c\x8a Shipwreck Rum punch in hand \xf0\x9f\x8d\xb9.... St. Kitts is beautiful \xf0\x9f\x8c\xb4 {photo credit\xe2\x80\xa6 https://t.co/JXVLoYVx9V'
2018-11-30 18:04:33,"b'While flying #unitedAirlines on a particularly cold night, the flight agent saw my discomfort was kind enough to he\xe2\x80\xa6 https://t.co/pD1wGREJvn'"
2018-11-30 17:01:52,b'$447* &amp; up -- United Airlines Flights to Hong Kong (Roundtrip) https://t.co/znOeA3T60Z #hkg #ord #unitedairlines https://t.co/VAyCozCNay'
2018-11-30 16:53:37,"b'I\xe2\x80\x99ve never tweeted a complaint before, but holy crap no one should EVER fly @United. Greedy, poorly ran company wit\xe2\x80\xa6 https://t.co/0qdCW2vlk4'"
2018-11-30 15:01:42,b'$700* &amp; up -- Flights to Buenos Aires Aboard United Airlines (Roundtrip) https://t.co/KAfBKI78t0 #eze #sfo\xe2\x80\xa6 https://t.co/wQaCgS2ww7'
2018-11-30 14:29:39,"b'RT @JaspreetUnited: A lot of hard work, but also a really neat experience. Excited to see the new inflight entertainment system onboard the\xe2\x80\xa6'"
2018-11-30 14:22:31,"b'RT @JaspreetUnited: A lot of hard work, but also a really neat experience. Excited to see the new inflight entertainment system onboard the\xe2\x80\xa6'"
2018-11-30 14:21:45,"b'RT @JaspreetUnited: A lot of hard work, but also a really neat experience. Excited to see the new inflight entertainment system onboard the\xe2\x80\xa6'"
2018-11-30 14:20:27,"b'A lot of hard work, but also a really neat experience. Excited to see the new inflight entertainment system onboard\xe2\x80\xa6 https://t.co/Issa3d9cfw'"
2018-11-30 14:03:32,b'This man is snoring so loud on the plane. I don\xe2\x80\x99t know whether to be mad or jealous. #UnitedAirlines #needsleep #earplugsplease'
2018-11-30 13:54:27,b'Absolutely disgusting #unitedairlines \xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae #nastyplane Let\xe2\x80\x99s Don\xe2\x80\x99t Go Ya\xe2\x80\x99ll!!!!!\xe2\x84\xa2\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e https://t.co/QxQjPgUdgB'
2018-11-30 13:46:30,b'#unitedairlines I am about to make a million miles on my United flight next week.  Looking back at all of the desti\xe2\x80\xa6 https://t.co/2PMQcQWQsE'
2018-11-30 13:16:34,b'RT @action_set: Our #Planespotting at #BuffaloNiagaraInternationalAirport 11-4-2018 is now up enjoy! #boeing757 #unitedairlines #southwest\xe2\x80\xa6'
2018-11-30 13:10:40,b'Our #Planespotting at #BuffaloNiagaraInternationalAirport 11-4-2018 is now up enjoy! #boeing757 #unitedairlines\xe2\x80\xa6 https://t.co/voa2VR8GKM'
2018-11-30 13:00:57,b'$649* &amp; up -- Flights to Singapore Aboard United Airlines (Roundtrip) https://t.co/nBQqTiKVg9 #sin #las\xe2\x80\xa6 https://t.co/ZraOwpf5DT'
2018-11-30 11:48:30,b'How elitist is #UnitedAirlines #UnitedClub for not allowing me to bring food into their club?'
2018-11-30 11:17:11,"b'A $1,400 uptake in price for a computer glitch-- This increase in price is downright devastating for freelance cons\xe2\x80\xa6 https://t.co/w8OcWEehyf'"
2018-11-30 10:51:26,b'#Book Your #Flight #Tickets #Domestic/#International\nhttps://t.co/KauLTCrL7S\n#BookFlightTicketsNumber\xe2\x80\xa6 https://t.co/jB0eQHkS2t'
2018-11-30 10:30:36,b'#Cheers to #Mimosas and #Mileage runs.  Keeping my #1K #Status with #UnitedAirlines another year because nothing be\xe2\x80\xa6 https://t.co/9xBW7Nr2gF'
2018-11-30 08:47:48,b'RT @microphonephoen: Confession: I\xe2\x80\x99m that weirdo at the  airport in full on yoga poses before I board the plane.  Lol @LFAfighting @AXSTVFi\xe2\x80\xa6'
2018-11-30 07:44:18,b'@united Do check this https://t.co/h7H9yMU6QV #Grievance #Airlines #unitedAIRLINES'
2018-11-30 07:24:07,b'Our team hitting the road for Santa Clara. Good luck in the championship. #GoUtes. #utahmanami #UnitedAirlines\xe2\x80\xa6 https://t.co/wjjf7tq3Tv'
2018-11-30 06:47:26,b'@MarkTamayoKTVU @KTVU I found the source of all the rainbows! A #UnitedAirlines aircraft likely outfitted with a be\xe2\x80\xa6 https://t.co/uIDRpCm9k8'
2018-11-30 06:37:27,b'RT @cassidysvacay: A first look at @united soon to be second 787-10 (N17002) test flight in #Charleston SC. #united #unitedairlines #avgeek\xe2\x80\xa6'
2018-11-30 06:35:23,b'RT @cassidysvacay: A first look at @united soon to be second 787-10 (N17002) test flight in #Charleston SC. #united #unitedairlines #avgeek\xe2\x80\xa6'
2018-11-30 06:16:35,b'RT @cassidysvacay: A first look at @united soon to be second 787-10 (N17002) test flight in #Charleston SC. #united #unitedairlines #avgeek\xe2\x80\xa6'
2018-11-30 04:44:27,b'#UnitedAirlines CEO Oscar Munoz gave up his first class seat for a frail-looking elderly woman. #travel #PaxEx https://t.co/u5DaHVOpOM'
2018-11-30 03:54:32,b'#tbt I want to go back! #losangeles #unitedairlines #specialolympics #missingthebeach https://t.co/lrssBjW3lR'
2018-11-30 03:39:33,b'RT @cassidysvacay: A first look at @united soon to be second 787-10 (N17002) test flight in #Charleston SC. #united #unitedairlines #avgeek\xe2\x80\xa6'
2018-11-30 03:31:31,"b'RT @MandolinChick: Authentic United Air Lines DC-8 manuals,two big volumes,up for bid! (Makes a great gift for the airline collector! https\xe2\x80\xa6'"
2018-11-30 03:23:13,"b'Authentic United Air Lines DC-8 manuals,two big volumes,up for bid! (Makes a great gift for the airline collector!\xe2\x80\xa6 https://t.co/CWby2ez5qm'"
2018-11-30 03:14:32,b'This is the 6th trip booked to #IRAN 3 on @emirates no problem 1 @AirFranceFR no problem 1 @UkraineAirlines no prob\xe2\x80\xa6 https://t.co/gteHaYtEeD'
2018-11-30 03:04:35,b'RT @SpecOlympicsCO: It\xe2\x80\x99s #ThrowbackThursday! Here\xe2\x80\x99s a throwback to our Plane Pull event earlier this year where our Partner @united got the\xe2\x80\xa6'
2018-11-30 02:59:20,b'RT @cassidysvacay: A first look at @united soon to be second 787-10 (N17002) test flight in #Charleston SC. #united #unitedairlines #avgeek\xe2\x80\xa6'
2018-11-30 02:25:08,"b""@united That's exactly the difference between #unitedAIRLINES and other airlines, your flight might get delayed and\xe2\x80\xa6 https://t.co/GMwhm3ZFNd"""
2018-11-30 02:14:19,"b'@united You are trying to call it ""weather impacted"" but it wasn\'t. Even the text from united didn\'t think so. Two\xe2\x80\xa6 https://t.co/5N3Cfmowma'"
2018-11-30 02:10:24,b'Pretty spectacular return to #sanfrancisco yesterday\xf0\x9f\x98\xbb @united #unitedairlines #passionpassport\xe2\x80\xa6 https://t.co/fBouL0Xn2R'
2018-11-30 02:02:28,b'My flight with #unitedAIRLINES was deayed four times and cancelled two times getting to the destination 26 hours la\xe2\x80\xa6 https://t.co/QzhUgAHkwz'
2018-11-30 01:58:18,b'Sitting on #UnitedAirlines trying to get to the gate.'
2018-11-30 01:58:05,b'Much love for my hometown! #acn #nextgen #unitedairlines #chasindreams #houston #htown #airport https://t.co/RsgUPmc2PE'
2018-11-30 01:52:32,b'Waiting to board from HOU-&gt;LAX \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbd #unitedairlines https://t.co/7yMbxz2AeB'
2018-11-30 01:51:18,b'@united The plane was not pushed from the gate and it was waiting at the gate. It seems this practice is unique to\xe2\x80\xa6 https://t.co/3bBfU1Y6H9'
2018-11-30 01:46:00,"b""All I'm saying is if I have a choice in what I fly, I'm picking #SouthwestAirlines. All they do is make fun of you\xe2\x80\xa6 https://t.co/hyLKJljCja"""
2018-11-30 01:00:50,b'$700* &amp; up -- Flights to Buenos Aires Aboard United Airlines (Roundtrip) https://t.co/KAfBKHPxBs #eze #ewr\xe2\x80\xa6 https://t.co/KnT85c41kZ'
2018-11-29 23:58:57,b'#unitedAIRLINES #united suck on way to Newark and just got told we ran out of fuel and are in Richmond Virginia.'
2018-11-29 23:58:23,b'#unitedAIRLINES  does not update their departure time to keep their delay record low. Spent 90 minutes at the gate\xe2\x80\xa6 https://t.co/3IZWoUwoX9'
2018-11-29 23:52:18,b'@lufthansa why partner with #unitedAIRLINES the most useless carrier in the world? Now i miss my LH connection again this week'
2018-11-29 23:08:52,b'RT @cassidysvacay: A first look at @united soon to be second 787-10 (N17002) test flight in #Charleston SC. #united #unitedairlines #avgeek\xe2\x80\xa6'
2018-11-29 22:50:36,"b""Thanks, @tsablogteam ... Couldn't you have been more careful, clearly it's a present. SMH #unitedairlines https://t.co/fPzHodkAId"""
2018-11-29 21:56:10,"b'@united My flight was pushed back 3 times! Once from sfo to Denver. Once Denver to Washington Dulles. Then, again f\xe2\x80\xa6 https://t.co/wTgvxMgIAq'"
2018-11-29 21:55:23,"b'The capitals of beer, Germany and Colorado, now closer than ever!  #den #fra #colorado #germany #unitedairlines\xe2\x80\xa6 https://t.co/x4i9w9JzN1'"
2018-11-29 20:01:09,b'$649* &amp; up -- Flights to Singapore Aboard United Airlines (Roundtrip) https://t.co/nBQqTiKVg9 #sin #sfo\xe2\x80\xa6 https://t.co/2luqFaQ66H'
2018-11-29 19:50:39,"b'If you have a kiddo who loves airplanes, Amazon currently has this United Airlines 777 Airplane Toy for only $5.52\xe2\x80\xa6 https://t.co/xhuDZf7lpJ'"
2018-11-29 18:33:42,b'It\xe2\x80\x99s #ThrowbackThursday! Here\xe2\x80\x99s a throwback to our Plane Pull event earlier this year where our Partner @united got\xe2\x80\xa6 https://t.co/No5Fa0PKFI'
2018-11-29 17:14:49,b'Hey @united 40 minutes and counting for bags in Kansas City? What gives? #unitedAIRLINES #MCI'
